District in Greater Cairo where you live,Which day of the week (phase I) are you filling the information for?,"How many HOURS did you spend at HOME/DORM today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at HOME/DORM (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at HOME/DORM (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at HOME/DORM (7.57 liters per min). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at HOME/DORM (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption during Watering Plants during the time you spent at HOME/DORM (can vary widely but try to estimate the average amount of time water is poured).
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at HOME/DORM (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","How many HOURS did you spend at UNIVERSITY today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at THE UNIVERSITY (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at the UNIVERSITY (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at the UNIVERSITY (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at the UNIVERSITY (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Can you tell us about the type of OTHER PLACES you are filling the information for (restaurent? club? hanging around?, etc.)","How many HOURS did you spend at OTHER PLACES today? 
Please answer in real numbers","Water consumption during Showering during the time you spent at OTHER PLACES (9.46 liters per min. Taking a bath is 189.2 liters per tub). 
Please insert your answer in real numbers","Water consumption for Washing Hands during the time you spent at OTHER PLACES (3.78 liters per min). 
Please insert your answer in real numbers","Water consumption for Toilet Flushing during the time you spent at OTHER PLACES (11.35 liters per flush). 
Please insert your answer in real numbers","Water consumption while Drinking during the time you spent at OTHER PLACES (Try to estimate the average amount of water used: 0.23 liters per glass of water, or 0.6 liters per small water bottle)
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at HOME/DORM (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes in a Dish Washing Machine at OTHER PLACES (15 liters per load/cycle). 
Please insert your answer in real numbers","Water consumption for Washing Dishes by hand during the time you spent at OTHER PLACES (7.57 liters per min). 
Please insert your answer in real numbers"
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",3,94.6,22.7,0,1.26,0,0.6,3,0,34.05,1.89,0.6,Hanging around,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",13,94.6,34.05,0,30.24,0,1.5,4.5,0,0,0,0.5,Cycling ,5,0,1.5,0,1,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",3,47.3,22.7,0,7.56,0,0.6,7,0,22.7,7.56,0,Mall,5,0,3.78,0,0.6,15,0,0
"Az-Zamālik [Zamalek] , الزمالك","Tuesday, October 24th 2023",18,95,56.75,0,26.49,0,3,1.5,0,11.35,3.78,0,Mall,3,0,0,0,0.5,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",18,302.72,34.05,0,7.119,0,0.46,6,0,0,0,0.6,Non,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",13,0,34.05,0,5.67,0,1.52,4,0,0,0,0,hanging out ,7,0,0,0,0.4,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",10,0,56.75,0,10.962,0,2.1,1.5,0,0,0,0,none,0,0,0,0,0,0,0,0
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Thursday, October 26th 2023",8,18.92,56.75,0,11.78,0,0.8,4,0,11.35,1.26,0.6,hanging around,6,0,0,11.35,1,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",6,63.382,45.4,0,7.56,0,3.6,6,0,7.56,7.56,2,nothing,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",19,33.11,68.1,9.084,24.192,0,4.2,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",18,0,34.05,0,37.8,0,0.46,6,0,11.35,7.56,0.6,there isnt,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",14,208.12,45.4,0,24.57,0,3.3,9,0,22.7,1.89,0.6,Mall,1,0,3.78,11.35,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",21,283.8,22.7,37.85,26.46,0,0.46,3,0,0,0,0.6,there isn't ,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",12,141.9,11.35,0,34.02,0,0.115,12,0,22.7,22.68,1.2,there isnt,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",10,0,56.75,0,12.285,0,1.2,4,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",21,283.8,3,0,1.89,0,0.92,0,0,0,0,0,gym,2,0,0,0,1,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",20,28.38,34.05,0,3.78,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",20.5,208.12,11.35,0,15.9,0,1,3.5,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",17.55,0,34.05,0,1.134,0,1.5,1.45,0,0,0,0,Mall,5,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12.5,0,22.7,0,16.8,0,1,9.5,0,0,0,0.6,Restaurant,2,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",14,94.6,22.7,0,11.34,0,1.38,5,0,11.35,3.78,0.23,0,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",5,0,22.7,0,1.16,0,0.6,9,0,34.05,2.1,1.2,didnt go out,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",14,94.6,22.7,0,11.34,0,0.9,5,0,11.35,3.78,0.23,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Sunday, October 22nd 2023",7,104.6,34.05,0,3.339,0,0.225,10,0,0,1.76,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Monday, October 23rd 2023",12,0,22.7,41.13,7.497,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",7,37.84,22.7,0,7.56,0,0.8,1,0,0,0,0,stadium,3,0,3.78,11.35,0.3,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",11,56.76,45.4,0,15.12,0,2,3,0,22.7,7.56,0.5,coffeeshop,3,0,3.78,1,0.23,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",12,56.76,45.4,0,15.12,0,1.2,3,0,22.7,7.56,0.6,gym,2,0,7.56,11.35,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,0,22.7,0,7.56,0,0,9,0,0,0,0.6,gym,2,56.76,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,0,22.7,0,0,0,0.9,3,0,0,0,0.7,Gym,2,47.3,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",13,236.5,34.05,0,18.9,0,1,2,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",7,105.63,22.7,0,13.734,0,0.76,6,0,0,1.965,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",7,189.2,45.4,0,37.8,0,1,5,0,0,3.78,0.6,didn't go anywhere ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,189.2,22.7,0,15.12,0,1,6,0,0,3.78,0.6,restaurent,1.5,0,3.78,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",16,0,22.7,0,7.56,0,0.6,4,0,0,0,0.2,Nail Salon,3,0,3.78,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",16.5,265.8,22.7,0,11.7,0,0.9,7.5,0,11.35,0.378,0.6,No other place,0,0,0,0,0,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",6,61.49,11.35,0,33.08,0,0.46,10,0,0,5.67,0.6,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",2,18.92,11.35,0,3.78,0,0.8,10,0,33.9,15.12,1.8,Non where,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",5,189.200004,22.7,53,10.08,0,0.975,12,0,0,2.52333334,0.975,0,0,0,0,0,0,0,0,0
AUC Dorm,"Sunday, October 22nd 2023",13,141.9,22.7,7.57,37.8,0,0.4,9.5,0,0,3.78,0.6,Track,1.5,0,0,0,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",2,113.52,22.7,0,18.9,0,0.6,8,0,22.7,22.68,1.8,One of my friend house,4,0,3.78,11.35,0.23,0,0,0
AUC Dorm,"Monday, October 23rd 2023",15,283.8000006,56.75,16.12410004,4.095,0,1.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",11,151.3600003,56.75,4.668166679,1.449,0,2,7,0,0,0,0.75,0,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",8,0,22.7,0,15.12,0,0.6,15,0,79.45,18.9,1.2,N/A,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",5.5,0,45.4,0,18.9,0,0.23,2,0,0,0,0.1,"club, gymnastics haul ",5.5,0,3.78,0,1,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",10,141.9,45.4,0,113.55,0,1.2,12,0,56.76,37.8,1.2,NA,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",7,170.28,34.05,0,15.12,0,0.83,6,0,11.35,3.78,0.6,i didn’t go to another place today ,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 24th 2023",8,94.6,22.7,0,37.8,0,1.8,12,0,45.4,45.36,2.4,NA,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Monday, October 23rd 2023",13,217.58,56.75,0,26.46,0,0.9,9,160.82,45.4,15.2,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",21,0,68.1,0,37.8,0,1.89,2,0,0,3.78,0,N/A,0,0,0,0,0,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",17,170.28,56.75,0,26.46,0,1.8,3,0,0,0,0,N/A,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 24th 2023",10,331.1,56.75,0,18.9,0,1.2,4,0,0,3.78,0.6,Nowhere ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",15,567,45,0,8,0,2,9,0,0,1.8,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",17,567,34,0,8,0,1.8,7,0,11.35,2.5,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",19,567,45,0,7.5,0,1,1,0,0,0,0,hanging around,4,0,1.8,0,0.6,15,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",21,94.6,45.4,30.28,11.34,0,2,3,0,11.35,3.78,0,none,0,0,0,0,0,0,0,0
"Al-Muqaṭṭam , المقطم","Tuesday, October 24th 2023",8,94,68.1,0,11.34,0,0.12,2,0,11.35,1.5,0.23,my friend’s university ,4,0,3.78,0,0.6,15,0,0
AUC Dorm,"Tuesday, October 24th 2023",16.5,0,45.4,3.785,18.9,0,0.3,1.5,0,0,0,0,track ,3,0,0,0,0.8,0,0,0
"Ad-Duqqī , الدقي","Tuesday, October 24th 2023",10,77.59,36.5,0,2.142,0,1.8,4,0,20.25,3.175,3,Gym,2,0,0.765,0,2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,5,5,0,5,0,5,6,0,1,3,1,N/A,0,0,0,0,0,0,0,0
"Al-Jīzah [Giza] , الجيزة","Sunday, October 22nd 2023",5,151.36,0,0,1.9,0,0.46,15,0,0,3.78,2.4,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",3,5,3,0,2,0,0,6,0,2,3,3,Rehab,4,0,2,0,2,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",18,283.8,22.7,0,26.46,0,1.8,3,0,0,3.78,1.2,hanging around,3,0,3.78,0,0.6,15,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",21,190,12,0,12,0,1,0,0,0,0,0,clinic,2,0,0,0,1,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Sunday, October 22nd 2023",7,124.87,34.05,0,15.12,0,3.5,0,0,0,0,0.6,club,5,0,1.512,11.35,1.2,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,94.6,22.7,151.4,7.56,5,1.38,4,0,0,0,0.6,gym ,2,0,3.78,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",13,0,45.4,0,11.34,0,0.23,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",6,0,2,0,15.12,0,1.2,11,0,22.7,11.34,1.2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",3,25,2,0,3,0,0.6,11,0,4,5,1.8,Gym,1,0,1,0,0.6,0,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Tuesday, October 24th 2023",2,15,5,0,3,0,3,9,0,0,0,0,Center,2,0,2,3,0,15,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",4,190,40,0,7,0,0.6,8,0,11.35,1,2.4,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",16,161,46,0,19,0,1,8,0,23,8,2,NA,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",20,94.6,34.05,0,15.12,0,0.6,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",16,85.14,34.05,0,1.512,0,0.46,4,0,11.35,1.512,1,Hanging around ,1.5,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",12,66.22,22.7,0,18.9,0,0.69,10,0,0,0,0,Club ,2,0,0,0,0.4,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",14,0,11.35,0,12.474,0,0.69,10,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",11.5,141.9,11.35,0,1.89,0,0.23,12.5,0,0,0,0.3,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",19,75.68,45.4,0,22.68,0,1,3,0,0,3.78,0.4,restaurant,1,0,0,0,0.2,15,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",5,47.3,11.35,0,4,0,1,9,0,23,6,2,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",14,0,22.7,32.8,14.6,0,1.5,7,0,0,0,0.43,restaurant ,3,0,0,0,0.46,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",16,520.3,56.75,22.71,30.24,0,3.5,6,0,22.7,7.56,1.5,N/A,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Tuesday, October 24th 2023",21,170.28,56.75,0,18.9,0,2.4,0,0,0,0,0,Cafe,3,0,0,0,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",16,0,11.35,0,3.2,0,1.8,8,0,11.35,0,0.6,none,0,0,0,0,0,15,0,0
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Monday, October 23rd 2023",12,104.06,68.1,0,8.6,0,1.6,3,0,22.7,3.15,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",12,89.5,56.75,22.71,26.46,0,1.15,7,0,34.05,11.34,0.6,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",21,37.84,90.8,0,34.02,0,2,3,0,0,0,0.6,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",6,112.98,45.4,0,18.9,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",6,189.2,34.05,0,22.68,0,1,10,0,0,3.78,0.6,N/A,0,0,0,0,0,0,0,0
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Tuesday, October 24th 2023",13,56.76,90.8,0,10.65,0,1.8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",7,141.9,34.05,0,5.67,0,2,2,0,0,0,0,hanging around,3,0,0,0,0,0,0,0
"Madīnat Sittah Uktūbar [6th of October City] , 6 أكتوبر","Wednesday, October 25th 2023",6,0,56.75,0,8.19,0,1.5,5,0,34.05,2.52,0.6,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",18,108.79,56.75,0,15.12,0,2.8,1.5,0,11.35,0.945,0.3,hanging around,2,0,0.945,11.35,0.23,0,0,0
"Ash-Shurūq , الشروق","Tuesday, October 24th 2023",13,0,4.246791667,0,27.13914,0,0.29,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",8,0,45.4,0,7.56,0,1.2,7,0,0,0,0.6,hanging around,4,0,1,0,0.6,0,0,0
"Ash-Shurūq , الشروق","Sunday, October 22nd 2023",13.5,47.3,34.05,37.25,24.51897,0,7.0863,5.5,0,1.182291667,0.67095,0,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",6,29,35,0,8,0,1,5,0,23,6,1.5,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",10,133,56.75,0,26.46,0,1.6,4,0,11.35,2.83,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Monday, October 23rd 2023",8,141.9,90.8,0,0,0,2,2,0,11.35,0,0,N/A,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Wednesday, October 25th 2023",14,85.14,34.05,0,13.23,0,2,7,0,22.7,2.835,1.2,0,0,0,0,0,0,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Thursday, October 26th 2023",18,141.9,45.4,0,17.01,0,3,0,0,0,0,0,"sports,hanging around",7,0,3.78,22.7,1.43,0,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Sunday, October 22nd 2023",12,70.95,34.05,0,13.23,0,1.5,7,0,22.7,1.89,1.2,cafe,2,0,0,0,0.46,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",9,189.2,56.8,0,26.5,0,1,3,0,0,3.78,0.6,Work office,4,0,3.78,11.35,0.3,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",4,0,22.7,113.55,18.9,0,1,5,0,11.35,3.78,0.6,None,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",5,567.6,34.05,75.7,15.12,0,0.6,9,0,0,7.56,1.43,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",12,56.76,3,34.05,11.34,0,2,12,0,45.4,11.34,2,N/A,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",24,378.4,45.4,113.55,22.68,0,0.3,0,0,0,0,0,0,0,0,0,0,0,15,0,0
"Ash-Shaykh Zāyid [Sheikh Zayed City] , الشيخ زايد","Tuesday, October 24th 2023",6,288,56.75,0,15.12,0,1,8,0,11.35,3.78,1,No,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",16,141.9,22.7,0,6.804,0,0.23,8,0,22.7,5.67,1.8,None ,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",18,141.9,45.4,0,7.56,0,0.6,6,0,0,0,0.6,0,0,0,0,0,0,15,0,0
"Miṣr al-Jādidah [Heliopolis] , مصر الجديدة","Wednesday, October 25th 2023",18,0,34.05,0,1.89,0,0.6,5,0,11.35,0.63,0.37,Car,1,0,0,0,0.23,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",11.16,18.92,34.05,0,1.89,0,0,7.5,0,0,1.89,0.3,Dance center ,1.5,0,0,0,0.6,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Sunday, October 22nd 2023",8,140,45.4,15.14,18.9,3,1.2,10,0,34.05,11.34,0.6,club,6,0,11.34,22.7,0.6,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",17,189.2,56.75,0,30.24,0,0.9,5,0,11.35,7.56,0.76,N/A,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Monday, October 23rd 2023",8,141.9,45.4,75.7,22.68,2,1.2,12,0,22.7,15.12,0.6,hanging around (mall),4,0,7.56,22.7,1.2,15,0,0
AUC Dorm,"Wednesday, October 25th 2023",12,47.3,56.75,37.85,18.9,0,2,12,0,11.35,3.78,0.6,none,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",12,290,23,31,0,0,0.3,12,0,68,30,3,0,0,0,0,0,0,0,0,0
AUC Dorm,"Tuesday, October 24th 2023",19,0,11.35,19,44.34,0,1.2,5,0,0,0,0,N/A,0,0,0,0,0,0,0,0
AUC Dorm,"Monday, October 23rd 2023",18,0,11.35,85.5,20,0,1,6,0,0,0,0.6,N/A,0,0,0,0,0,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Tuesday, October 24th 2023",17,18.92,45.4,37.85,18.9,0,1.5,5,0,11.35,7.56,0.6,gym,2,47.3,7.56,11.35,1.2,15,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",15,141.9,68.1,0,18.9,0,1.2,9,0,22.7,11.34,1.5,0,0,0,0,0,0,0,0,0
"Madīnat an-Naṣr [Nasr City] , مدينة نصر","Wednesday, October 25th 2023",1,47.3,11.35,0,3.78,0,0.46,6,0,11.35,1.26,0.6,hanging around,5,0,0,0,0.8,0,0,0
"Al-Ma'ādī [Maadi] , المعادي","Wednesday, October 25th 2023",15,47.3,34.05,22.71,37.8,0,1.2,5,0,22.7,15.12,0.6,hanging out,4,0,7.56,11.35,0.6,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Tuesday, October 24th 2023",17.5,143.7,45.4,17.4,8.6,0,2.4,4.5,0,11.35,8.6,0.6,i didn't,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",4,0,34.05,0,5.67,0,1.2,9,0,11.35,1.89,2.4,0,0,0,0,0,0,0,0,0
AUC Dorm,"Wednesday, October 25th 2023",9,0,45.4,0,9.45,0,0.6,24,0,0,0,0,-,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Wednesday, October 25th 2023",5,0,22.7,0,3.4902,0,1.2,12,0,11.35,2.44188,1,0,0,0,0,0,0,0,0,0
"Al-Qāhirah al-Jadīdah 1 [New Cairo] , القاهرة الجديدة","Sunday, October 22nd 2023",4.5,0,34.05,0,4.725,0,1.2,9.5,0,34.05,3.213,1.2,0,0,0,0,0,0,0,0,0
